time;delayMs;Util;dropProb;Dq;reward
97.44;27.200416564941406;0.9825870990753174;0.1300000250339508;1197280000.0;1.0
97.46;28.037216186523438;0.9825901389122009;0.14000003039836884;1197530000.0;1.0
97.48;28.25569725036621;0.9825931191444397;0.24000002443790436;1197780000.0;1.0
97.5;28.903697967529297;0.9825956225395203;0.14000003039836884;1198030000.0;1.0
97.52;29.60361671447754;0.9825986623764038;0.14000003039836884;1198280000.0;1.0
97.54;30.62921714782715;0.9826016426086426;0.040000028908252716;1198530000.0;1.0
97.56;31.225297927856445;0.9826041460037231;0.14000003039836884;1198780000.0;1.0
97.58;31.68921661376953;0.9826071858406067;0.040000028908252716;1199030000.0;1.0
97.6;32.42689895629883;0.9826101660728455;0.040000028908252716;1199280000.0;1.0
97.62;33.315616607666016;0.9826131463050842;0.040000028908252716;1199530000.0;1.0
97.64;34.19419479370117;0.9826156497001648;0.030000029131770134;1199770000.0;1.0
97.66;34.706016540527344;0.9826186895370483;0.030000029131770134;1200020000.0;1.0
97.68;36.01481628417969;0.9826216697692871;0.020000029355287552;1200270000.0;1.0
97.7;36.13889694213867;0.9826246500015259;0.020000029355287552;1200520000.0;1.0
97.72;36.69249725341797;0.9826271533966064;0.0;1200770000.0;1.0
97.74;37.57649612426758;0.9826301336288452;0.009999999776482582;1201020000.0;1.0
97.76;37.8988151550293;0.9826331734657288;0.009999999776482582;1201270000.0;1.0
97.78;38.21169662475586;0.9826356768608093;0.0;1201520000.0;1.0
97.8;38.293296813964844;0.9826386570930481;0.0;1201770000.0;1.0
97.82;39.36609649658203;0.9826416373252869;0.0;1202020000.0;1.0
97.84;39.924415588378906;0.9826446175575256;0.0;1202270000.0;1.0
97.86;40.52521514892578;0.9826471209526062;0.0;1202510000.0;1.0
97.88;41.0316162109375;0.982650101184845;0.0;1202760000.0;1.0
97.9;41.86369705200195;0.9826530814170837;0.009999999776482582;1203010000.0;1.0
97.92;42.37481689453125;0.9826560616493225;0.009999999776482582;1203260000.0;1.0
97.94;42.97089767456055;0.9826585650444031;0.0;1203510000.0;1.0
97.96;44.19001770019531;0.9826615452766418;0.0;1203760000.0;1.0
97.98;44.79081726074219;0.9826645255088806;0.0;1204010000.0;1.0
98.0;45.339698791503906;0.9826670289039612;0.009999999776482582;1204260000.0;1.0
98.02;45.662017822265625;0.9826700091362;0.0;1204510000.0;1.0
98.04;46.39497756958008;0.982672929763794;0.0;1204760000.0;1.0
98.06;47.09961700439453;0.9826759099960327;0.009999999776482582;1205010000.0;1.0
98.08;47.039615631103516;0.9826784133911133;0.009999999776482582;1205260000.0;1.0
98.1;47.069297790527344;0.982681393623352;0.0;1205500000.0;1.0
98.12;47.06121826171875;0.9826843738555908;0.009999999776482582;1205750000.0;1.0
98.14;46.76521682739258;0.9826872944831848;0.009999999776482582;1206000000.0;1.0
98.16;46.74769973754883;0.9826897978782654;0.009999999776482582;1206250000.0;1.0
98.18;46.07881546020508;0.9826927781105042;0.009999999776482582;1206500000.0;1.0
98.2;43.93729782104492;0.9826957583427429;0.10999999940395355;1206750000.0;1.0
98.22;43.877296447753906;0.9826986789703369;0.009999999776482582;1207000000.0;1.0
98.24;41.1781120300293;0.9827011823654175;0.0;1207250000.0;1.0
98.26;40.03321838378906;0.9827041625976562;0.009999999776482582;1207500000.0;1.0
98.28;39.77969741821289;0.9827070832252502;0.019999999552965164;1207750000.0;1.0
98.3;40.75809860229492;0.9827095866203308;0.11999999731779099;1208000000.0;1.0
98.32;40.60841751098633;0.9827125072479248;0.019999997690320015;1208250000.0;1.0
98.34;41.11481857299805;0.9827154874801636;0.11999999731779099;1208490000.0;1.0
98.36;41.9468994140625;0.9827184677124023;0.10999999940395355;1208740000.0;1.0
98.38;42.2172966003418;0.9827209115028381;0.10999999940395355;1208990000.0;1.0
98.4;43.00689697265625;0.9827238917350769;0.009999999776482582;1209240000.0;1.0
98.42;43.706817626953125;0.9827268123626709;0.0;1209490000.0;1.0
98.44;44.402015686035156;0.9827297925949097;0.009999999776482582;1209740000.0;1.0
98.46;45.0452995300293;0.9827322363853455;0.0;1209990000.0;1.0
98.48;45.273216247558594;0.9827351570129395;0.0;1210240000.0;1.0
98.5;45.35009765625;0.9827381372451782;0.0;1210490000.0;1.0
98.52;45.43641662597656;0.982740581035614;0.009999999776482582;1210740000.0;1.0
98.54;46.084415435791016;0.9827435612678528;0.10999999940395355;1210990000.0;1.0
98.56;46.68049621582031;0.9827464818954468;0.009999999776482582;1211240000.0;1.0
98.58;47.13969802856445;0.9827494025230408;0.10999999940395355;1211480000.0;1.0
98.6;47.17409896850586;0.9827519059181213;0.10000000149011612;1211730000.0;1.0
