time;delayMs;Util;dropProb;reward
0;0.0;0.00022400000307243317;0.0;0.500111997127533
1;0.0;0.0;0.0;0.5
2;0.0;0.0;0.009999999776482582;-1.0
3;0.0;0.0;0.0;0.5
4;0.0;0.0;0.009999999776482582;-1.0
5;0.0;0.0;0.0;0.5
6;0.0;0.0;0.009999999776482582;-1.0
7;0.0;0.0;0.0;0.5
8;0.0;0.0;0.009999999776482582;-1.0
9;0.0;0.0;0.019999999552965164;-1.0
10;0.0;0.0;0.019999999552965164;-1.0
11;0.0;0.0;0.009999999776482582;-1.0
12;0.0;0.0;0.0;0.5
13;0.0;0.0;0.0;0.5
14;0.0;0.0;0.0;0.5
15;0.0;0.0;0.0;0.5
16;0.0;0.0;0.0;0.5
17;0.0;0.0;0.009999999776482582;-1.0
18;0.0;0.0;0.004999999888241291;-1.0
19;0.0;0.0;0.0;0.5
20;0.0;0.0;0.0;0.5
21;0.0;0.0;0.009999999776482582;-1.0
22;0.0;0.0;0.0;0.5
23;0.0;0.0;0.0;0.5
24;0.0;0.0;0.0;0.5
25;0.0;0.0;0.0;0.5
26;0.0;0.0;0.0;0.5
27;0.0;0.0;0.0;0.5
28;0.0;0.0;0.0;0.5
29;0.0;0.0;0.0;0.5
30;0.0;0.0;0.0;0.5
31;0.0;0.0;0.009999999776482582;-1.0
32;0.0;0.0;0.019999999552965164;-1.0
33;0.0;0.0;0.029999999329447746;-1.0
34;0.0;0.0;0.03999999910593033;-1.0
35;0.0;0.0;0.07999999821186066;-1.0
36;0.0;0.0;0.08999999612569809;-1.0
37;0.0;0.0;0.08999999612569809;-1.0
38;0.0;0.0;0.17999999225139618;-1.0
39;0.0;0.0;0.35999998450279236;-1.0
40;0.0;0.0;0.5;-1.0
41;0.0;0.0;0.49000000953674316;-1.0
42;0.0;0.0;0.5;-1.0
43;0.0;0.0;0.5;-1.0
44;0.0;0.0;0.5;-1.0
45;0.0;0.0;0.5;-1.0
46;0.0;0.0;0.5;-1.0
47;0.0;0.0;0.49000000953674316;-1.0
48;0.0;0.0;0.48000001907348633;-1.0
49;0.0;0.0;0.24000000953674316;-1.0
50;0.0;0.00020799999765586108;0.25;-1.0
51;0.0;0.0;0.5;-1.0
