time;delayMs;Util;dropProb;reward
0;0.0;1.0;0.009999999776482582;0.9980000257492065
1;0.0;1.0;0.009999999776482582;0.9980000257492065
2;0.0;1.0;0.009999999776482582;0.9980000257492065
3;0.0;1.0;0.004999999888241291;0.9990000128746033
4;0.0;1.0;0.009999999776482582;0.9980000257492065
5;0.0;1.0;0.019999999552965164;0.9959999918937683
6;0.0;1.0;0.03999999910593033;0.9919999837875366
7;0.0;1.0;0.07999999821186066;0.984000027179718
8;0.0;1.0;0.08999999612569809;0.9819999933242798
9;0.0;1.0;0.17999999225139618;0.9639999866485596
10;0.0;1.0;0.08999999612569809;0.9819999933242798
11;0.0;1.0;0.08999999612569809;0.9819999933242798
12;0.0;1.0;0.08999999612569809;0.9819999933242798
13;0.0;1.0;0.07999999821186066;0.984000027179718
14;0.0;1.0;0.1599999964237213;0.9679999947547913
15;0.0;1.0;0.17000000178813934;0.9660000205039978
16;0.0;1.0;0.3400000035762787;0.9319999814033508
17;0.0;1.0;0.6800000071525574;0.8640000224113464
18;0.0;1.0;0.6800000071525574;0.8640000224113464
19;0.0;1.0;0.6899999976158142;0.8619999885559082
20;0.0;1.0;0.699999988079071;0.8600000143051147
21;0.0;1.0;0.6899999976158142;0.8619999885559082
22;0.0;1.0;0.3449999988079071;0.9309999942779541
23;0.0;1.0;0.33500000834465027;0.9329999685287476
24;0.0;1.0;0.32500001788139343;0.9350000023841858
25;0.0;1.0;0.32500001788139343;0.9350000023841858
26;0.0;1.0;0.32500001788139343;0.9350000023841858
27;0.0;1.0;0.16250000894069672;0.9674999713897705
28;0.0;1.0;0.1525000035762787;0.9695000052452087
29;0.0;1.0;0.3050000071525574;0.9390000104904175
30;0.0;1.0;0.29500001668930054;0.9409999847412109
31;0.0;1.0;0.3050000071525574;0.9390000104904175
32;0.0;1.0;0.3050000071525574;0.9390000104904175
33;0.0;1.0;0.29500001668930054;0.9409999847412109
34;0.0;1.0;0.29500001668930054;0.9409999847412109
35;0.0;1.0;0.29500001668930054;0.9409999847412109
36;0.0;1.0;0.3050000071525574;0.9390000104904175
37;0.0;1.0;0.29500001668930054;0.9409999847412109
38;0.0;1.0;0.2850000262260437;0.9430000185966492
39;0.0;1.0;0.29500001668930054;0.9409999847412109
40;0.0;1.0;0.5900000333786011;0.8819999694824219
41;0.0;1.0;0.5800000429153442;0.8840000033378601
42;0.0;1.0;1.0;0.800000011920929
43;0.0;1.0;1.0;0.800000011920929
44;0.0;1.0;0.9900000095367432;0.8019999861717224
45;0.0;1.0;0.9900000095367432;0.8019999861717224
46;0.0;1.0;1.0;0.800000011920929
47;0.0;1.0;1.0;0.800000011920929
48;0.0;1.0;1.0;0.800000011920929
49;0.0;1.0;1.0;0.800000011920929
50;0.0;1.0;0.5;0.8999999761581421
51;0.0;1.0;0.49000000953674316;0.9020000100135803
52;0.0;1.0;0.9800000190734863;0.8040000200271606
53;0.0;1.0;0.9700000286102295;0.8059999942779541
54;0.0;1.0;0.9700000286102295;0.8059999942779541
55;0.0;1.0;0.9700000286102295;0.8059999942779541
56;0.0;1.0;0.48500001430511475;0.902999997138977
57;0.0;1.0;0.24250000715255737;0.9514999985694885
58;0.0;1.0;0.12125000357627869;0.9757499694824219
59;0.0;1.0;0.24250000715255737;0.9514999985694885
60;0.0;1.0;0.12125000357627869;0.9757499694824219
61;0.0;1.0;0.11125000566244125;0.9777500033378601
62;0.0;1.0;0.10125000774860382;0.9797499775886536
63;0.0;1.0;0.11125000566244125;0.9777500033378601
64;0.0;1.0;0.05562500283122063;0.9888749718666077
65;0.3415679931640625;1.0;0.027812501415610313;0.9752539396286011
66;0.7415680289268494;1.0;0.05562500283122063;0.9501276612281799
67;0.7915679812431335;1.0;0.06562500447034836;0.9458721876144409
68;0.7915679812431335;1.0;0.03281250223517418;0.9524347186088562
69;0.7915679812431335;1.0;0.06562500447034836;0.9458721876144409
70;0.8415679931640625;1.0;0.07562500238418579;0.9416553974151611
71;0.7415680289268494;1.0;0.037812501192092896;0.9536901712417603
72;0.7415680289268494;1.0;0.07562500238418579;0.9461276531219482
73;0.7915679812431335;1.0;0.06562500447034836;0.9458721876144409
74;0.7915679812431335;1.0;0.07562500238418579;0.9438722133636475
75;0.7915679812431335;1.0;0.06562500447034836;0.9458721876144409
76;0.7415680289268494;1.0;0.05562500283122063;0.9501276612281799
77;0.6915680170059204;1.0;0.05562500283122063;0.9524227380752563
78;0.7915679812431335;1.0;0.05562500283122063;0.9478722214698792
79;0.7915679812431335;1.0;0.045625001192092896;0.9498721957206726
80;0.7915679812431335;1.0;0.045625001192092896;0.9498721957206726
81;0.7415680289268494;1.0;0.05562500283122063;0.9501276612281799
82;0.7415680289268494;1.0;0.045625001192092896;0.9521276950836182
83;0.7915679812431335;1.0;0.09125000238418579;0.9407472014427185
84;0.7915679812431335;1.0;0.10125000029802322;0.938747227191925
85;0.7915679812431335;1.0;0.20250000059604645;0.9184972047805786
86;0.7415680289268494;1.0;0.20250000059604645;0.9207527041435242
87;0.7415680289268494;1.0;0.10125000029802322;0.9410026669502258
88;0.7915679812431335;1.0;0.11124999821186066;0.9367471933364868
89;0.6915680170059204;1.0;0.2224999964237213;0.9190477728843689
90;0.7915679812431335;1.0;0.21249999105930328;0.9164972305297852
91;0.0;1.0;0.42499998211860657;0.9150000214576721
92;0.0;1.0;0.42499998211860657;0.9150000214576721
93;0.0;1.0;0.41499999165534973;0.9169999957084656
94;0.0;1.0;0.4050000011920929;0.9190000295639038
95;0.0;1.0;0.8100000023841858;0.8379999995231628
96;0.0;1.0;0.8100000023841858;0.8379999995231628
97;0.0;1.0;0.800000011920929;0.8399999737739563
98;0.0;1.0;0.4000000059604645;0.9200000166893005
99;0.0;1.0;0.800000011920929;0.8399999737739563
100;0.0;1.0;0.7900000214576721;0.8420000076293945
101;0.0;1.0;1.0;0.800000011920929
102;0.0;1.0;1.0;0.800000011920929
103;0.0;1.0;0.9900000095367432;0.8019999861717224
104;0.0;1.0;1.0;0.800000011920929
105;0.0;1.0;0.9900000095367432;0.8019999861717224
106;0.0;1.0;0.9900000095367432;0.8019999861717224
107;0.0;1.0;1.0;0.800000011920929
108;0.0;1.0;1.0;0.800000011920929
109;0.0;1.0;1.0;0.800000011920929
110;0.0;1.0;0.9900000095367432;0.8019999861717224
111;0.0;1.0;0.4950000047683716;0.9010000228881836
112;0.0;1.0;0.4950000047683716;0.9010000228881836
113;0.0;1.0;0.4950000047683716;0.9010000228881836
114;0.0;1.0;0.2475000023841858;0.9505000114440918
115;0.0;1.0;0.2574999928474426;0.9484999775886536
116;0.0;1.0;0.2474999874830246;0.9505000114440918
117;0.0;1.0;0.1237499937415123;0.9752500057220459
118;0.0;1.0;0.13374999165534973;0.9732500314712524
119;0.0;1.0;0.26749998331069946;0.9465000033378601
120;0.0;1.0;0.2774999737739563;0.9445000290870667
121;0.0;1.0;0.26749998331069946;0.9465000033378601
122;0.0;1.0;0.2574999928474426;0.9484999775886536
123;0.0;1.0;0.2474999874830246;0.9505000114440918
124;0.0;1.0;0.4949999749660492;0.9010000228881836
125;0.0;1.0;0.5049999952316284;0.8989999890327454
126;0.0;1.0;0.5049999952316284;0.8989999890327454
127;0.0;1.0;0.2524999976158142;0.9495000243186951
128;0.0;1.0;0.1262499988079071;0.9747499823570251
129;0.0;1.0;0.11625000089406967;0.9767500162124634
130;0.0;1.0;0.10625000298023224;0.9787499904632568
131;0.7915679812431335;1.0;0.0962500050663948;0.9397472143173218
132;0.7415680289268494;1.0;0.08625000715255737;0.9440026879310608
133;0.6915680170059204;1.0;0.0962500050663948;0.944297730922699
134;0.7415680289268494;1.0;0.08625000715255737;0.9440026879310608
135;0.7915679812431335;1.0;0.08625000715255737;0.9417471885681152
136;0.7915679812431335;1.0;0.043125003576278687;0.9503722190856934
137;0.7915679812431335;1.0;0.033125001937150955;0.9523721933364868
138;0.7415680289268494;1.0;0.023125002160668373;0.9566276669502258
139;0.7415680289268494;1.0;0.013125002384185791;0.9586277008056641
140;0.7915679812431335;1.0;0.023125002160668373;0.954372227191925
141;0.7915679812431335;1.0;0.013125002384185791;0.9563722014427185
142;0.7915679812431335;1.0;0.0031250023748725653;0.9583722352981567
143;0.7415680289268494;1.0;0.0062500047497451305;0.9600026607513428
144;0.7415680289268494;1.0;0.0031250023748725653;0.9606276750564575
145;0.7915679812431335;1.0;0.013125002384185791;0.9563722014427185
146;0.7915679812431335;1.0;0.0065625011920928955;0.9576846957206726
147;0.7915679812431335;1.0;0.0032812505960464478;0.9583409428596497
148;0.7415680289268494;1.0;0.0065625011920928955;0.9599401950836182
149;0.7415680289268494;1.0;0.013125002384185791;0.9586277008056641
150;0.7915679812431335;1.0;0.0065625011920928955;0.9576846957206726
151;0.7915679812431335;1.0;0.0065625011920928955;0.9576846957206726
152;0.7915679812431335;1.0;0.0032812505960464478;0.9583409428596497
153;0.7415680289268494;1.0;0.0;0.9612526893615723
154;0.7415680289268494;1.0;0.009999999776482582;0.959252655506134
155;0.7915679812431335;1.0;0.004999999888241291;0.95799720287323
156;0.7915679812431335;1.0;0.004999999888241291;0.95799720287323
157;0.7915679812431335;1.0;0.0024999999441206455;0.9584972262382507
158;0.7415680289268494;1.0;0.0;0.9612526893615723
159;0.7415680289268494;1.0;0.0;0.9612526893615723
160;0.7415680289268494;1.0;0.009999999776482582;0.959252655506134
161;0.7915679812431335;1.0;0.019999999552965164;0.9549972414970398
162;0.7915679812431335;1.0;0.029999999329447746;0.9529972076416016
163;0.7915679812431335;1.0;0.019999999552965164;0.9549972414970398
164;0.7415680289268494;1.0;0.009999999776482582;0.959252655506134
165;0.7415680289268494;1.0;0.004999999888241291;0.9602527022361755
166;0.7915679812431335;1.0;0.004999999888241291;0.95799720287323
167;0.7915679812431335;1.0;0.0;0.9589971899986267
168;0.7915679812431335;1.0;0.0;0.9589971899986267
169;0.7415680289268494;1.0;0.0;0.9612526893615723
170;0.7415680289268494;1.0;0.009999999776482582;0.959252655506134
171;0.7915679812431335;1.0;0.019999999552965164;0.9549972414970398
172;0.7915679812431335;1.0;0.009999999776482582;0.9569972157478333
173;0.7915679812431335;1.0;0.0;0.9589971899986267
174;0.7415680289268494;1.0;0.0;0.9612526893615723
175;0.7415680289268494;1.0;0.0;0.9612526893615723
176;0.7915679812431335;1.0;0.0;0.9589971899986267
177;0.7915679812431335;1.0;0.009999999776482582;0.9569972157478333
178;0.7915679812431335;1.0;0.009999999776482582;0.9569972157478333
179;0.7415680289268494;1.0;0.0;0.9612526893615723
180;0.7415680289268494;1.0;0.009999999776482582;0.959252655506134
181;0.7915679812431335;1.0;0.004999999888241291;0.95799720287323
182;0.7915679812431335;1.0;0.0024999999441206455;0.9584972262382507
183;0.7915679812431335;1.0;0.0012499999720603228;0.9587472081184387
184;0.8415679931640625;1.0;0.0012499999720603228;0.9565303921699524
185;0.7415680289268494;1.0;0.0012499999720603228;0.9610026478767395
186;0.7415680289268494;1.0;0.0012499999720603228;0.9610026478767395
187;0.7915679812431335;1.0;0.0024999999441206455;0.9584972262382507
188;0.7915679812431335;1.0;0.012500000186264515;0.9564971923828125
189;0.7915679812431335;1.0;0.02250000089406967;0.954497218132019
190;0.7415680289268494;1.0;0.02250000089406967;0.9567526578903198
191;0.7415680289268494;1.0;0.02250000089406967;0.9567526578903198
192;0.7915679812431335;1.0;0.02250000089406967;0.954497218132019
193;0.7915679812431335;1.0;0.011250000447034836;0.9567472338676453
194;0.7915679812431335;1.0;0.011250000447034836;0.9567472338676453
195;0.7415680289268494;1.0;0.021250000223517418;0.9570026993751526
196;0.7415680289268494;1.0;0.011250000447034836;0.959002673625946
197;0.7915679812431335;1.0;0.021250000223517418;0.954747200012207
198;0.7915679812431335;1.0;0.011250000447034836;0.9567472338676453
199;0.7915679812431335;1.0;0.00125000043772161;0.9587472081184387
200;0.7415680289268494;1.0;0.000625000218860805;0.9611276984214783
201;0.7415680289268494;1.0;0.0;0.9612526893615723
202;0.7915679812431335;1.0;0.0;0.9589971899986267
203;0.7915679812431335;1.0;0.0;0.9589971899986267
204;0.7915679812431335;1.0;0.0;0.9589971899986267
205;0.7415680289268494;1.0;0.009999999776482582;0.959252655506134
206;0.7415680289268494;1.0;0.019999999552965164;0.9572526812553406
207;0.7915679812431335;1.0;0.029999999329447746;0.9529972076416016
208;0.7915679812431335;1.0;0.03999999910593033;0.9509972333908081
209;0.7915679812431335;1.0;0.019999999552965164;0.9549972414970398
210;0.7915679812431335;1.0;0.009999999776482582;0.9569972157478333
211;0.7415680289268494;1.0;0.009999999776482582;0.959252655506134
212;0.7415680289268494;1.0;0.0;0.9612526893615723
213;0.7915679812431335;1.0;0.0;0.9589971899986267
214;0.7915679812431335;1.0;0.0;0.9589971899986267
215;0.7915679812431335;1.0;0.009999999776482582;0.9569972157478333
216;0.7415680289268494;1.0;0.019999999552965164;0.9572526812553406
217;0.7415680289268494;1.0;0.009999999776482582;0.959252655506134
218;0.7915679812431335;1.0;0.004999999888241291;0.95799720287323
219;0.7915679812431335;1.0;0.0;0.9589971899986267
220;0.7915679812431335;1.0;0.0;0.9589971899986267
221;0.7415680289268494;1.0;0.009999999776482582;0.959252655506134
222;0.7415680289268494;1.0;0.0;0.9612526893615723
223;0.7915679812431335;1.0;0.0;0.9589971899986267
224;0.7915679812431335;1.0;0.0;0.9589971899986267
225;0.7915679812431335;1.0;0.0;0.9589971899986267
