time;delayMs;Util;dropProb;reward
0;0.0;1.0;0.0;1.0
1;0.0;1.0;0.0;1.0
2;0.0;1.0;0.0;1.0
3;0.0;1.0;0.0;1.0
4;0.0;1.0;0.009999999776482582;0.9980000257492065
5;0.0;1.0;0.004999999888241291;0.9990000128746033
6;0.0;1.0;0.009999999776482582;0.9980000257492065
7;0.0;1.0;0.004999999888241291;0.9990000128746033
8;0.0;1.0;0.014999999664723873;0.996999979019165
9;0.0;1.0;0.029999999329447746;0.9940000176429749
10;0.0;1.0;0.014999999664723873;0.996999979019165
11;0.0;1.0;0.007499999832361937;0.9984999895095825
12;0.0;1.0;0.0;1.0
13;0.0;1.0;0.009999999776482582;0.9980000257492065
14;0.0;1.0;0.019999999552965164;0.9959999918937683
15;0.0;1.0;0.019999999552965164;0.9959999918937683
16;0.0;1.0;0.019999999552965164;0.9959999918937683
17;0.0;1.0;0.029999999329447746;0.9940000176429749
18;0.0;1.0;0.03999999910593033;0.9919999837875366
19;0.0;1.0;0.019999999552965164;0.9959999918937683
20;0.0;1.0;0.029999999329447746;0.9940000176429749
21;0.0;1.0;0.014999999664723873;0.996999979019165
22;0.0;1.0;0.02500000037252903;0.9950000047683716
23;0.0;1.0;0.03500000014901161;0.9929999709129333
24;0.0;1.0;0.02500000037252903;0.9950000047683716
25;0.0;1.0;0.03500000014901161;0.9929999709129333
26;0.0;1.0;0.03500000014901161;0.9929999709129333
27;0.0;1.0;0.017500000074505806;0.9965000152587891
28;0.0;1.0;0.008750000037252903;0.9982500076293945
29;0.0;1.0;0.017500000074505806;0.9965000152587891
30;0.0;1.0;0.007500000298023224;0.9984999895095825
31;0.0;1.0;0.017500000074505806;0.9965000152587891
32;0.0;1.0;0.008750000037252903;0.9982500076293945
33;0.0;1.0;0.017500000074505806;0.9965000152587891
34;0.0;1.0;0.017500000074505806;0.9965000152587891
35;0.0;1.0;0.027499999850988388;0.9944999814033508
36;0.0;1.0;0.03750000149011612;0.9925000071525574
37;0.0;1.0;0.01875000074505806;0.9962499737739563
38;0.0;1.0;0.00937500037252903;0.9981250166893005
39;0.0;1.0;0.00937500037252903;0.9981250166893005
40;0.0;1.0;0.019375000149011612;0.9961249828338623
41;0.0;1.0;0.009687500074505806;0.9980624914169312
42;0.0;1.0;0.019375000149011612;0.9961249828338623
43;0.0;1.0;0.038750000298023224;0.9922500252723694
44;0.0;1.0;0.038750000298023224;0.9922500252723694
45;0.0;1.0;0.028750000521540642;0.9942499995231628
46;0.0;1.0;0.01875000074505806;0.9962499737739563
47;0.0;1.0;0.00937500037252903;0.9981250166893005
48;0.0;1.0;0.0;1.0
49;0.0;1.0;0.009999999776482582;0.9980000257492065
50;0.0;1.0;0.009999999776482582;0.9980000257492065
51;0.0;1.0;0.004999999888241291;0.9990000128746033
52;0.0;1.0;0.0024999999441206455;0.9994999766349792
53;0.0;1.0;0.0024999999441206455;0.9994999766349792
54;0.0;1.0;0.0012499999720603228;0.999750018119812
55;0.0;1.0;0.0006249999860301614;0.999875009059906
56;0.0;1.0;0.0;1.0
57;0.0;1.0;0.0;1.0
58;0.0;1.0;0.0;1.0
59;0.0;1.0;0.0;1.0
60;0.0;1.0;0.009999999776482582;0.9980000257492065
61;0.0;1.0;0.0;1.0
62;0.0;1.0;0.0;1.0
63;0.0;1.0;0.0;1.0
64;0.0;1.0;0.009999999776482582;0.9980000257492065
65;0.0;1.0;0.019999999552965164;0.9959999918937683
66;0.0;1.0;0.029999999329447746;0.9940000176429749
67;0.0;1.0;0.03999999910593033;0.9919999837875366
68;0.0;1.0;0.03999999910593033;0.9919999837875366
69;0.0;1.0;0.07999999821186066;0.984000027179718
70;0.0;1.0;0.08999999612569809;0.9819999933242798
71;0.0;1.0;0.08999999612569809;0.9819999933242798
72;0.0;1.0;0.044999998062849045;0.9909999966621399
73;0.0;1.0;0.022499999031424522;0.9955000281333923
74;0.0;1.0;0.022499999031424522;0.9955000281333923
75;0.0;1.0;0.01249999925494194;0.9975000023841858
76;0.0;1.0;0.00624999962747097;0.9987499713897705
77;0.0;1.0;0.016249999403953552;0.996749997138977
78;0.0;1.0;0.032499998807907104;0.9934999942779541
79;0.0;1.0;0.042500000447034836;0.9915000200271606
80;0.0;1.0;0.05250000208616257;0.9894999861717224
81;0.0;1.0;0.0625;0.987500011920929
82;0.0;1.0;0.07249999791383743;0.9854999780654907
83;0.0;1.0;0.08249999582767487;0.9835000038146973
84;0.0;1.0;0.04124999791383743;0.9917500019073486
85;0.0;1.0;0.03124999813735485;0.9937499761581421
86;0.0;1.0;0.02124999836087227;0.9957500100135803
87;0.0;1.0;0.010624999180436134;0.9978749752044678
88;0.0;1.0;0.02124999836087227;0.9957500100135803
