time;delayMs;Util;dropProb;reward
0;0.0;1.0;0.0;1.0
1;0.0;1.0;0.0;1.0
2;0.0;1.0;0.009999999776482582;0.9980000257492065
3;0.0;1.0;0.004999999888241291;0.9990000128746033
4;0.0;1.0;0.014999999664723873;0.996999979019165
5;0.0;1.0;0.007499999832361937;0.9984999895095825
6;0.0;1.0;0.014999999664723873;0.996999979019165
7;0.0;1.0;0.007499999832361937;0.9984999895095825
8;0.0;1.0;0.0;1.0
9;0.0;1.0;0.009999999776482582;0.9980000257492065
10;0.0;1.0;0.019999999552965164;0.9959999918937683
11;0.0;1.0;0.009999999776482582;0.9980000257492065
12;0.0;1.0;0.019999999552965164;0.9959999918937683
13;0.0;1.0;0.009999999776482582;0.9980000257492065
14;0.0;1.0;0.019999999552965164;0.9959999918937683
15;0.0;1.0;0.009999999776482582;0.9980000257492065
16;0.0;1.0;0.009999999776482582;0.9980000257492065
17;0.0;1.0;0.009999999776482582;0.9980000257492065
18;0.0;1.0;0.004999999888241291;0.9990000128746033
19;0.0;1.0;0.0024999999441206455;0.9994999766349792
20;0.0;1.0;0.0012499999720603228;0.999750018119812
21;0.0;1.0;0.0006249999860301614;0.999875009059906
22;0.0;1.0;0.0006249999860301614;0.999875009059906
23;0.0;1.0;0.0006249999860301614;0.999875009059906
24;0.0;1.0;0.0;1.0
25;0.0;1.0;0.009999999776482582;0.9980000257492065
26;0.0;1.0;0.004999999888241291;0.9990000128746033
27;0.0;1.0;0.014999999664723873;0.996999979019165
28;0.0;1.0;0.014999999664723873;0.996999979019165
29;0.0;1.0;0.004999999888241291;0.9990000128746033
30;0.0;1.0;0.0024999999441206455;0.9994999766349792
31;0.0;1.0;0.0;1.0
32;0.0;1.0;0.0;1.0
33;0.0;1.0;0.009999999776482582;0.9980000257492065
34;0.0;1.0;0.019999999552965164;0.9959999918937683
35;0.0;1.0;0.019999999552965164;0.9959999918937683
36;0.0;1.0;0.019999999552965164;0.9959999918937683
37;0.0;1.0;0.03999999910593033;0.9919999837875366
38;0.0;1.0;0.019999999552965164;0.9959999918937683
39;0.0;1.0;0.029999999329447746;0.9940000176429749
40;0.0;1.0;0.014999999664723873;0.996999979019165
41;0.0;1.0;0.014999999664723873;0.996999979019165
42;0.0;1.0;0.004999999888241291;0.9990000128746033
43;0.0;1.0;0.0024999999441206455;0.9994999766349792
44;0.0;1.0;0.0012499999720603228;0.999750018119812
45;0.0;1.0;0.0006249999860301614;0.999875009059906
46;0.0;1.0;0.0006249999860301614;0.999875009059906
47;0.0;1.0;0.0012499999720603228;0.999750018119812
48;0.0;1.0;0.0006249999860301614;0.999875009059906
49;0.0;1.0;0.0;1.0
50;0.0;1.0;0.0;1.0
51;0.0;1.0;0.0;1.0
52;0.0;1.0;0.0;1.0
53;0.0;1.0;0.0;1.0
54;0.0;1.0;0.009999999776482582;0.9980000257492065
55;0.0;1.0;0.0;1.0
56;0.0;1.0;0.009999999776482582;0.9980000257492065
57;0.0;1.0;0.009999999776482582;0.9980000257492065
58;0.0;1.0;0.004999999888241291;0.9990000128746033
59;0.0;1.0;0.0024999999441206455;0.9994999766349792
60;0.0;1.0;0.0012499999720603228;0.999750018119812
61;0.0;1.0;0.0006249999860301614;0.999875009059906
62;0.0;1.0;0.0003124999930150807;0.9999374747276306
63;0.0;1.0;0.0003124999930150807;0.9999374747276306
64;0.0;1.0;0.0006249999860301614;0.999875009059906
65;0.0;1.0;0.0003124999930150807;0.9999374747276306
66;0.0;1.0;0.0;1.0
67;0.0;1.0;0.0;1.0
68;0.0;1.0;0.009999999776482582;0.9980000257492065
69;0.0;1.0;0.004999999888241291;0.9990000128746033
70;0.0;1.0;0.014999999664723873;0.996999979019165
71;0.0;1.0;0.004999999888241291;0.9990000128746033
72;0.0;1.0;0.0024999999441206455;0.9994999766349792
73;0.0;1.0;0.0024999999441206455;0.9994999766349792
74;0.0;1.0;0.0024999999441206455;0.9994999766349792
75;0.0;1.0;0.0012499999720603228;0.999750018119812
76;0.0;1.0;0.0006249999860301614;0.999875009059906
77;0.0;1.0;0.0003124999930150807;0.9999374747276306
78;0.0;1.0;0.010312500409781933;0.9979375004768372
79;0.0;1.0;0.010312500409781933;0.9979375004768372
80;0.0;1.0;0.020625000819563866;0.9958750009536743
81;0.0;1.0;0.010625001043081284;0.9978749752044678
82;0.0;1.0;0.010625001043081284;0.9978749752044678
83;0.0;1.0;0.010625001043081284;0.9978749752044678
84;0.0;1.0;0.020625000819563866;0.9958750009536743
85;0.0;1.0;0.030625000596046448;0.9938750267028809
86;0.0;1.0;0.061250001192092896;0.9877499938011169
87;0.0;1.0;0.07124999910593033;0.9857500195503235
88;0.0;1.0;0.14249999821186066;0.9714999794960022
